saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,tipo_movimentacao,tipo_deficiencia,salario_mensal,indicador_aprendiz
1,101,7,25,44.0,3,3,97,0,1357.02,0
1,101,7,39,44.0,6,1,97,0,1375.0,0
1,101,7,29,44.0,1,1,97,0,1360.0,0
1,101,7,30,44.0,6,1,97,0,1400.0,0
1,101,7,19,44.0,3,3,97,0,1360.0,0
1,101,6,36,44.0,3,1,97,0,1631.44,0
1,101,9,25,44.0,3,1,97,0,1400.0,0
1,101,7,23,44.0,1,3,97,0,1302.0,0
1,101,5,19,44.0,3,1,97,0,1314.0,0
1,101,9,52,44.0,3,3,97,0,1367.58,0
1,101,7,36,44.0,1,3,97,0,1375.0,0
1,101,8,21,42.5,1,1,97,0,1302.0,0
1,103,7,17,22.0,3,3,97,0,651.0,1
1,101,7,21,44.0,6,3,97,0,0.0,0
1,101,7,37,44.0,3,1,97,0,1375.0,0
1,101,7,18,44.0,1,1,97,0,1360.0,0
1,101,7,25,44.0,6,3,97,0,1375.0,0
1,101,7,34,44.0,6,3,97,0,1375.0,0
1,101,7,33,44.0,3,1,97,0,1352.04,0
1,103,5,19,24.0,6,1,97,0,592.0,1
1,103,7,18,20.0,3,3,97,0,683.79,1
1,101,7,19,44.0,1,1,97,0,1375.0,0
1,101,8,27,40.0,1,1,97,0,1600.0,0
1,101,7,33,40.0,1,1,97,0,1302.0,0
1,101,7,19,44.0,1,1,97,0,1302.0,0
1,101,9,27,44.0,2,3,97,0,2200.0,0
1,101,7,29,44.0,6,3,97,0,1375.0,0
1,101,7,36,44.0,3,3,97,0,1360.0,0
1,101,7,48,45.71,3,3,97,0,1302.0,0
1,101,7,25,44.0,3,1,97,0,1304.53,0
1,101,7,27,44.0,6,3,97,0,0.0,0
1,101,7,55,44.0,1,3,97,0,1375.0,0
1,101,7,24,48.0,1,1,97,0,1375.0,0
1,101,7,26,44.0,6,1,97,0,1370.85,0
1,101,7,23,24.0,3,3,97,0,1375.0,0
1,101,7,33,44.0,6,3,97,0,1590.6,0
1,101,7,19,44.0,3,3,97,0,1336.11,0
1,101,7,18,44.0,3,3,97,0,0.0,0
1,105,7,39,44.0,2,3,97,2,1365.0,0
1,101,7,22,48.0,6,1,97,0,1302.0,0
1,101,7,31,44.0,6,3,97,0,2800.0,0
1,103,7,21,20.0,3,3,97,0,612.0,1
1,101,7,30,44.0,3,3,97,0,1360.0,0
1,101,7,33,44.0,6,1,97,0,1375.0,0
1,101,7,42,44.0,3,3,97,0,1360.0,0
1,103,6,17,24.0,6,3,97,0,592.0,1
1,101,7,31,44.0,3,3,97,0,1375.0,0
1,101,7,37,44.0,6,1,97,0,1800.0,0
1,101,7,17,44.0,3,1,97,0,1302.0,0
1,101,7,18,44.0,6,3,97,0,1375.0,0
